模型,训练MSE,测试MSE,训练MAE,测试MAE,训练R2,测试R2,交叉验证R2
SVR,5.8318387766158965e-05,4.911739539938362e-05,0.006787685125680415,0.006073270685928345,0.9945288621024915,0.9920809768237646,0.991890873832209
RandomForest,1.541250992592588e-05,1.2519092571428182e-05,0.0025259259259259406,0.003322285714285685,0.9985540758175693,0.997981591177373,0.9909655993783206
